time:121.673,vol:530.976
time:121.776,vol:531.344
time:121.921,vol:531.732
time:122.024,vol:532.279
time:122.123,vol:533.248
time:122.224,vol:534.511
time:122.321,vol:537.124
time:122.473,vol:537.97
time:122.579,vol:538.459
time:122.723,vol:538.743
time:122.824,vol:538.802
time:122.979,vol:539.064
time:123.123,vol:539.344
time:123.222,vol:539.674
time:123.376,vol:540.518
time:123.524,vol:541.703
time:123.623,vol:542.74
time:123.723,vol:544.086
time:123.871,vol:546.301
time:123.975,vol:548.777
time:124.122,vol:552.096
time:124.272,vol:554.805
time:124.378,vol:557.693
time:124.524,vol:560.581
time:124.622,vol:561.416
time:124.724,vol:564.743
time:124.872,vol:567.95
time:124.979,vol:571.178
time:125.122,vol:573.287
time:125.272,vol:575.035
time:125.384,vol:576.417
time:125.521,vol:576.79
time:125.673,vol:577.201
time:125.779,vol:577.861
time:125.924,vol:578.583
time:126.024,vol:578.778
time:126.176,vol:579.945
time:126.321,vol:580.511
time:126.473,vol:580.717
time:126.577,vol:580.813
time:126.722,vol:580.882
time:126.872,vol:581.388
time:126.974,vol:582.084
time:127.124,vol:582.313
time:127.222,vol:582.316
time:127.376,vol:582.383
time:127.522,vol:583.299
time:127.624,vol:583.385
time:127.781,vol:585.365
time:127.921,vol:586.222
time:128.074,vol:586.273
time:128.18,vol:586.28
time:128.324,vol:586.996
time:128.471,vol:593.937
time:128.576,vol:596.809
time:128.721,vol:598.624
time:128.821,vol:599.034
time:128.981,vol:600.404
time:129.123,vol:601.048
time:129.272,vol:601.466
time:129.375,vol:601.916
time:129.523,vol:602.165
time:129.673,vol:602.474
time:129.776,vol:602.937
time:129.922,vol:603.572
time:130.071,vol:604.176
time:130.178,vol:604.682
time:130.322,vol:605.395
time:130.473,vol:606.625
time:130.578,vol:608.391
time:130.724,vol:609.218
time:130.824,vol:609.37
time:130.923,vol:610.156
time:131.023,vol:610.366
time:131.175,vol:610.966
time:131.323,vol:611.866
time:131.473,vol:613.239
time:131.576,vol:614.694
time:131.723,vol:616.692
time:131.871,vol:620.351
time:131.978,vol:621.918
time:132.121,vol:623.999
time:132.273,vol:626.074
time:132.381,vol:627.724
time:132.523,vol:629.778
time:132.623,vol:630.771
time:132.778,vol:633.159
time:132.923,vol:634.809
time:133.023,vol:635.326
time:133.177,vol:636.398
time:133.323,vol:637.006
time:133.422,vol:637.301
time:133.579,vol:637.565
time:133.722,vol:638.398
time:133.823,vol:638.756
time:133.977,vol:640.671
time:134.123,vol:640.977
time:134.224,vol:641.057
time:134.327,vol:641.134
time:134.474,vol:641.188
time:134.58,vol:641.207
time:134.722,vol:641.362
time:134.824,vol:641.684
time:134.978,vol:642.501
time:135.123,vol:642.539
time:135.273,vol:642.55
time:135.375,vol:642.851
time:135.522,vol:644.735
time:135.625,vol:645.738
time:135.775,vol:651.215
time:135.922,vol:656.488
time:136.022,vol:657.985
time:136.182,vol:661.797
time:136.323,vol:663.236
time:136.472,vol:663.916
time:136.576,vol:665.066
time:136.721,vol:666.533
time:136.822,vol:667.175
time:136.922,vol:668.52
time:137.075,vol:669.589
time:137.179,vol:670.909
time:137.323,vol:671.618
time:137.423,vol:671.915
time:137.581,vol:673.358
time:137.722,vol:673.84
time:137.822,vol:673.859
time:137.923,vol:674.118
time:138.024,vol:674.408
time:138.123,vol:674.748
time:138.223,vol:675.042
time:138.379,vol:676.993
time:138.521,vol:678.162
time:138.673,vol:680.656
time:138.777,vol:681.481
time:138.923,vol:682.116
time:139.071,vol:683.022
time:139.179,vol:684.201
time:139.321,vol:684.479
time:139.474,vol:684.601
time:139.578,vol:684.973
time:139.723,vol:686.306
time:139.825,vol:688.061
time:139.978,vol:690.585
time:140.121,vol:692.177
time:140.272,vol:692.348
time:140.378,vol:692.428
time:140.524,vol:692.482
time:140.623,vol:692.5
time:140.775,vol:692.519
time:140.922,vol:692.539
time:141.073,vol:692.594
time:141.176,vol:692.597
time:141.323,vol:692.733
time:141.472,vol:693.105
time:141.582,vol:694.081
time:141.723,vol:695.106
time:141.873,vol:695.49
time:141.977,vol:695.865
time:142.123,vol:696.345
time:142.224,vol:696.579
time:142.376,vol:697.457
time:142.521,vol:697.885
time:142.673,vol:698.422
time:142.784,vol:698.985
time:142.924,vol:699.617
time:143.073,vol:700.605
time:143.176,vol:701.136
time:143.323,vol:701.943
time:143.474,vol:702.691
time:143.58,vol:704.516
time:143.723,vol:705.549
time:143.822,vol:707.597
time:143.923,vol:711.961
time:144.073,vol:714.66
time:144.184,vol:719.37
time:144.322,vol:721.43
time:144.425,vol:721.773
time:144.585,vol:722.872
time:144.723,vol:723.207
time:144.877,vol:723.415
time:144.979,vol:723.473
time:145.122,vol:723.498
time:145.225,vol:723.52
time:145.323,vol:723.544
time:145.472,vol:723.579
time:145.576,vol:723.632
time:145.721,vol:723.67
time:145.873,vol:723.89
time:145.976,vol:724.04
time:146.123,vol:724.108
time:146.271,vol:724.132
time:146.378,vol:724.145
time:146.521,vol:724.373
time:146.622,vol:724.598
time:146.775,vol:724.776
time:146.922,vol:725.066
time:147.023,vol:725.122
time:147.176,vol:728.096
time:147.323,vol:731.463
time:147.473,vol:732.094
time:147.578,vol:732.595
time:147.724,vol:733.254
time:147.876,vol:733.859
time:147.983,vol:734.256
time:148.121,vol:734.595
time:148.274,vol:734.955
time:148.382,vol:735.655
time:148.524,vol:736.799
time:148.673,vol:736.99
time:148.784,vol:737.067
