time:59.7147,vol:522.099
time:59.8239,vol:522.571
time:59.9263,vol:522.571
time:60.0653,vol:522.793
time:60.1647,vol:522.861
time:60.3149,vol:522.911
time:60.4163,vol:523.069
time:60.5638,vol:523.295
time:60.664,vol:523.296
time:60.8145,vol:523.534
time:60.9649,vol:526.676
time:61.1043,vol:528.378
time:61.2156,vol:532.196
time:61.3149,vol:533.25
time:61.4625,vol:535.941
time:61.5644,vol:538.939
time:61.6745,vol:542.48
time:61.8146,vol:544.422
time:61.9666,vol:546.749
time:62.0734,vol:548.475
time:62.2142,vol:549.406
time:62.3145,vol:550.117
time:62.4804,vol:551.631
time:62.6158,vol:552.693
time:62.7641,vol:553.99
time:62.87,vol:554.154
time:63.0143,vol:556.259
time:63.1158,vol:556.804
time:63.2419,vol:558.448
time:63.3661,vol:560.242
time:63.4655,vol:560.939
time:63.5702,vol:562.071
time:63.7149,vol:563.187
time:63.8664,vol:564.761
time:64.0143,vol:566.804
time:64.1676,vol:568.035
time:64.2736,vol:568.872
time:64.4176,vol:569.555
time:64.5652,vol:570.424
time:64.7142,vol:571.126
time:64.865,vol:572.044
time:65.0148,vol:572.873
time:65.1647,vol:574.015
time:65.2683,vol:574.905
time:65.4261,vol:575.36
time:65.5654,vol:575.82
time:65.6728,vol:576.159
time:65.7792,vol:576.329
time:65.9154,vol:576.779
time:66.0164,vol:576.803
time:66.115,vol:576.805
time:66.2686,vol:576.846
time:66.4146,vol:576.942
time:66.5149,vol:576.947
time:66.6734,vol:578.847
time:66.8158,vol:583.042
time:66.9149,vol:583.694
time:67.0721,vol:585.015
time:67.2148,vol:585.235
time:67.3175,vol:585.272
time:67.4219,vol:585.328
time:67.5642,vol:585.389
time:67.7166,vol:585.545
time:67.821,vol:585.591
time:67.9672,vol:585.628
time:68.0694,vol:585.674
time:68.2144,vol:587.579
time:68.3168,vol:589.834
time:68.4649,vol:591.477
time:68.5664,vol:592.031
time:68.7489,vol:592.294
time:68.8692,vol:592.417
time:69.0108,vol:592.495
time:69.3951,vol:592.95
time:69.5099,vol:593.763
time:69.813,vol:593.866
time:69.9269,vol:594.254
time:70.125,vol:594.303
time:70.2381,vol:594.822
time:70.4156,vol:595.131
time:70.5388,vol:595.24
time:70.6379,vol:595.251
time:70.7887,vol:595.311
time:70.8916,vol:595.395
time:71.0386,vol:595.428
time:71.1412,vol:595.431
time:71.3465,vol:595.436
time:71.488,vol:595.443
time:71.5889,vol:595.443
time:71.6878,vol:595.45
time:71.8186,vol:595.45
time:71.9392,vol:595.465
time:72.09,vol:595.476
time:72.2803,vol:595.482
time:72.3899,vol:595.491
time:72.4882,vol:595.498
time:72.6402,vol:595.507
time:72.7418,vol:595.52
time:72.8886,vol:595.524
time:73.0377,vol:595.532
time:73.1755,vol:595.537
time:73.2904,vol:595.542
time:73.3884,vol:595.542
time:73.4884,vol:595.553
time:73.6421,vol:595.558
time:73.789,vol:595.565
time:73.9437,vol:595.57
time:74.1043,vol:595.574
time:74.2407,vol:595.65
time:74.3442,vol:595.804
time:74.4888,vol:595.892
time:74.6376,vol:595.934
time:74.7384,vol:598.999
time:74.89,vol:604.216
time:74.9878,vol:604.995
time:75.1477,vol:607.709
time:75.3011,vol:611.468
time:75.438,vol:613.642
time:75.5506,vol:615.238
